misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,17640,629,-35.08130827,2.1929423093795775,-0.00012506172060966492,8.767996573448182
40,34440,643,-28.782690669999997,2.1908525466918944,-0.0001609455794095993,4.17672209739685
60,51240,640,-34.58604091000001,2.1862298965454103,-3.351420164108276e-05,4.360737097263336
80,68040,648,-30.296554999999994,2.176129627227783,-0.0001153457909822464,2.3608006477355956
100,84840,657,-28.252440019999995,2.183854508399963,-0.00019729428458958864,3.7818666815757753
120,101640,656,-33.23737603,2.1845180988311768,-0.00010269172489643096,2.477703309059143
140,118440,666,-25.74849911,2.1859920978546143,-0.0005526062799617648,1.0152177900075912
160,135240,669,-27.596662660000003,2.1660712242126463,-0.0003805907443165779,1.0630317509174347
180,152040,672,-26.054698309999996,2.1600077629089354,-0.0005106976255774498,1.145459395647049
200,168840,679,-23.98147385,2.1713545322418213,-0.00049104243516922,4.124622976779937
220,185640,686,-23.84661724,2.1670693874359133,9.45480540394783e-05,3.7385518133640288
240,202440,688,-27.164210810000004,2.148139142990112,-0.0007357005029916764,1.309392935037613
260,219240,694,-28.590047510000005,2.133680319786072,-0.001144060119986534,1.8016028881072998
280,236040,698,-19.683648149999996,2.1041427135467528,-0.0006312673911452293,5.444391530752182
300,252840,700,-18.66266825,2.0809342861175537,-0.0006823727861046791,0.6013260051608086
320,269640,700,-17.02579249,2.0897764205932616,-0.0011422667652368546,1.2845767319202424
340,286440,703,-20.42834575,2.1398327589035033,-0.0002596868202090263,0.7072554469108582
360,303240,707,-23.44504271,2.034689962863922,6.335601210594177e-05,0.5706434726715088
380,320040,709,-19.01532871,1.9290355801582337,-0.0013110313564538955,0.7165730744600296
400,336840,709,-16.7736247,1.9984613180160522,-0.00021123290061950684,3.1030736297369
420,353640,711,-15.8622037,1.922969686985016,-0.002333211898803711,0.18531221374869347
440,370440,715,-14.01528738,1.9625934839248658,-0.004253058135509491,0.24812240451574324
460,387240,718,-14.58420092,1.958467996120453,-0.003332514129579067,0.16694458574056625
480,404040,723,-14.996319739999999,1.878868544101715,0.00032438784837722777,3.461851051449776
500,420840,726,-14.904910709999998,1.7640501499176025,-0.0008795727044343948,0.42089096307754514
520,437640,731,-12.672709829999999,1.8451406955718994,-0.006243542907759548,0.189310409873724
540,454440,735,-14.518335910000001,1.807585632801056,-0.0007763945963233709,0.29638430699706075
560,471240,738,-13.757327870000005,1.7979213833808898,-0.0015252657234668733,0.14306766241788865
580,488040,742,-15.464469179999998,1.7563087224960328,-0.0036776158958673477,0.373249788582325
600,504840,744,-12.48777188,1.7754142165184021,-0.006609787166235037,0.08968388997018337
620,521640,747,-5.58061122,1.7034178256988526,-0.00483693452551961,0.14650350101292134
640,538440,750,-2.45159482,1.6749418020248412,0.00021423324942588807,0.4361369896680117
660,555240,752,-5.4414859500000015,1.7988726615905761,-0.005450728535652161,0.07165450267493725
680,572040,754,-5.638671469999999,1.806498944759369,-0.000699896365404129,3.9519868336617945
700,588840,756,-4.44297875,1.82876113653183,-0.0026733556762337683,0.12793336994946003
720,605640,758,-5.07145439,1.779922330379486,-0.0018923409283161164,0.1570830799639225
740,622440,760,-9.80444121,1.8048295259475708,-0.004587095789611339,0.12345280386507511
760,639240,762,-11.029982910000001,1.7853837847709655,-0.0015877068042755127,6.175353453308344
780,656040,764,-7.944929060000001,1.77491055727005,-0.0041983617469668385,0.20523591823875903
800,672840,766,-2.24660653,1.7386252880096436,-0.0021353699266910553,0.27441947534680367
820,689640,767,-2.701226489999999,1.714658761024475,-0.0005065679550170898,3.142905067279935
840,706440,769,-2.8465511699999997,1.6772745728492737,-0.0009618520736694336,2.958828556537628
860,723240,770,-2.3036550499999997,1.7572375655174255,-0.001466202363371849,0.20974178463220597
880,740040,771,-5.933912950000002,1.797321379184723,-0.0012989540584385395,0.3293795049190521
900,756840,773,-3.1973829600000006,1.8669243693351745,-0.002063682675361633,0.08558618873357773
920,773640,774,-3.2344670700000004,1.7680529952049255,-0.0004695482552051544,3.32155102789402
940,790440,775,1.2354581500000001,1.8415298819541932,-0.004477149108424783,0.1536186497658491
960,807240,776,7.4515146,1.8401123404502868,-0.0007505726069211959,2.550758607685566
980,824040,776,8.64225,1.83391375541687,-0.0007078282535076142,4.050260324776173
1000,840840,777,5.02079677,1.8439436912536622,-0.004793749749660492,2.364863641932607
1020,857640,778,4.24110107,1.7730039715766908,0.004117128811776638,3.1398258730769157
1040,874440,778,5.269770220000001,1.7876999378204346,-7.116273045539855e-05,2.678968940675259
1060,891240,778,0.8616932800000002,1.8280596137046814,-0.0022140350192785263,7.2148602396249775
1080,908040,779,-0.9357116299999996,1.740669882297516,-0.002761217579245567,0.12317758426070213
1100,924840,780,7.278776640000001,1.7621746063232422,-0.0026763301342725755,2.180663603544235
1120,941640,780,12.9486654,1.7914209127426148,0.0003665156662464142,2.7611154194921257
1140,958440,781,13.401232900000004,1.725824785232544,-0.00015860795974731445,5.38165984004736
1160,975240,782,12.056190170000002,1.8322233200073241,-0.0003502257168292999,1.8069463789463043
1180,992040,782,10.636554689999999,1.7775638461112977,-0.0037760287523269653,0.9384091481566429
1200,1008840,782,13.261128739999997,1.7392597556114198,-0.0014994300086982547,3.770207776129246
1220,1025640,782,9.923648419999997,1.8010407209396362,-0.0029369868338108064,0.21395231634378434
1240,1042440,782,7.90765143,1.7379823446273803,-0.00017185099422931672,8.275180958211422
1260,1059240,782,10.322761029999999,1.8287455081939696,0.00013967975974082947,8.661567460000516
1280,1076040,783,12.00346138,1.8320635318756104,-0.005777948349714279,3.8390942364931107
1300,1092840,782,14.89498746,1.7464643597602845,-0.0008160913363099098,6.561001205444336
1320,1109640,782,15.974897950000003,1.7057538986206056,-0.0006011635239701718,10.22816834449768
1340,1126440,782,11.7870093,1.7853232026100159,-0.0006587963551282882,1.4057169158011675
1360,1143240,782,17.161845479999997,1.732259500026703,-0.0017971277236938476,9.246427869796753
1380,1160040,782,15.761533870000001,1.7052650094032287,-0.0026861254125833513,5.617627037316561
1400,1176840,781,17.57856849,1.8296345472335815,2.5523174554109573e-05,1.0181723162531853
1420,1193640,781,17.16126933,1.7069850087165832,-0.0028427988290786743,3.382526598498225
1440,1210440,781,15.408461460000002,1.7205561876296998,-0.0005025508580729365,11.064050769805908
1460,1227240,781,11.86034484,1.8125618696212769,-0.0004959911108016968,4.110633845627308
1480,1244040,781,14.790241389999997,1.8199421882629394,-0.004775633104145527,6.915828347206116
1500,1260840,781,9.15085477,1.805487072467804,0.0016746170818805694,2.731978917121887
1520,1277640,781,1.1042210700000001,1.796883749961853,-0.0043668515980243685,0.570678262412548
1540,1294440,781,-5.32800766,1.8171099543571472,-0.0029954591765999792,0.33938197046518326
1560,1311240,782,-5.09943667,1.820282804965973,-0.0076233591884374615,0.19470166862010957
1580,1328040,781,4.80334955,1.8547481179237366,-0.004277982469648123,6.306814262270928
1600,1344840,782,11.397529819999997,1.758365547657013,-0.0007676184177398682,2.9653095230460167
1620,1361640,782,12.268058879999998,1.8059068202972413,-0.002116232365369797,3.4743109226226805
1640,1378440,782,3.6348564700000003,1.8643522024154664,-0.0013670720160007476,0.19672845751047136
1660,1395240,783,0.6694585600000005,1.8437253475189208,0.0008366681635379791,2.796650841832161
1680,1412040,783,5.662353630000001,1.7942844390869142,-0.0021299466490745543,3.941593512892723
1700,1428840,783,4.150277880000001,1.83282368183136,-0.0025931820273399353,0.19247454330325126
1720,1445640,783,1.1244488499999996,1.8698992729187012,-0.0012736760079860687,0.355556458234787
1740,1462440,784,6.6715458100000005,1.8011811256408692,-0.003019411489367485,2.188218381255865
1760,1479240,784,9.328824299999999,1.679962944984436,-0.0038531690835952757,2.6861875116825105
1780,1496040,784,12.545210500000001,1.7870245337486268,-0.0023894906044006348,4.172109997272491
1800,1512840,784,13.041055559999997,1.7667400121688843,-0.0007298667449504137,10.066729593276978
1820,1529640,785,13.73103997,1.798296618461609,-0.0019345419481396676,2.81145221889019
1840,1546440,785,14.47099403,1.7665932059288025,-0.000579051673412323,0.25601809918880464
1860,1563240,785,13.119670180000004,1.8084376215934754,0.00043076067231595516,3.5440811216831207
1880,1580040,785,13.923996690000001,1.8342470049858093,-0.0012930097058415414,9.641773796081543
1900,1596840,785,14.8639675,1.7058857917785644,-0.0020845700870268046,7.944642210006714
1920,1613640,785,14.944962240000002,1.770248794555664,-0.0007050160318613052,0.27185391783714297
1940,1630440,785,16.20855812,1.857940423488617,-0.0020313664339482785,4.278934666514397
1960,1647240,785,12.804069769999998,1.8757489681243897,-0.0008427193388342857,0.12910366617143154
1980,1664040,785,9.13842224,1.7624862551689149,-0.001730731874704361,7.215098257362842
2000,1680840,785,13.049014120000002,1.8053744196891786,0.00012236535549163817,2.271445771306753
2020,1697640,786,7.78202504,1.8030749559402466,0.00025514885783195496,1.8090318329632282
2040,1714440,786,3.68753818,1.913379728794098,-5.417428910732269e-05,8.716734458506107
2060,1731240,786,5.447449889999999,1.7692886590957642,-0.00732470266520977,0.14678755402565002
2080,1748040,786,6.5542345499999985,1.7371306657791137,-0.0006627112627029419,2.797238226979971
2100,1764840,786,7.776717519999998,1.8030383586883545,-0.0012841083109378815,3.9262943118810654
2120,1781640,787,1.46054772,1.7514092206954956,-0.0009593065828084945,2.9986663311719894
2140,1798440,787,-8.01846373,1.7149032592773437,-0.0004584647715091705,4.084598362445831
2160,1815240,787,-10.312895900000001,1.6545493602752686,-0.0009633049368858338,2.9981126844882966
2180,1832040,787,-6.69406709,1.7907455086708068,-0.00011348277330398559,3.9582111828029154
2200,1848840,788,-2.3219592499999995,1.7285425901412963,-0.0005201548337936401,3.0631823986768723
2220,1865640,788,4.83656202,1.721680235862732,-0.005147717893123627,3.224024918675423
2240,1882440,788,11.205945069999999,1.7754023909568786,-0.0022628771141171454,0.07567629553377628
2260,1899240,788,14.769884039999999,1.7784361600875855,-0.00024612508714199065,2.1216021336615087
2280,1916040,788,12.173542529999999,1.6890044331550598,-0.002724636346101761,1.8541621424257755
2300,1932840,788,11.926545260000001,1.7404751658439637,-0.003837900608778,1.6491234585642816
2320,1949640,788,13.41443737,1.8603855490684509,-0.0010001317597925663,5.589221072196961
2340,1966440,788,12.003704639999999,1.8283037304878236,-0.0028007924556732178,6.775950407981872
2360,1983240,789,9.402974089999999,1.8606153964996337,-0.00036276727914810183,4.076551645994186
2380,2000040,789,11.769083720000003,1.8065384149551391,0.0023520782589912413,2.356366826966405
2400,2016840,789,12.327245600000001,1.7677861332893372,0.0007078662514686584,2.694738658517599
2420,2033640,789,12.38184918,1.7772231936454772,-0.0009809210896492004,8.714310777187347
2440,2050440,789,12.93621734,1.6893504858016968,-0.0014139901846647262,8.708648490905762
2460,2067240,789,15.011239730000002,1.7272152543067931,-0.0020939767360687255,2.4291828736662864
2480,2084040,788,12.01859668,1.7410126328468323,0.0006483554840087891,4.204754626750946
2500,2100840,789,7.892481599999999,1.573084044456482,-0.0007369421422481537,2.9017816141247748
2520,2117640,789,7.22949531,1.6745941638946533,0.0025578398490324616,4.553986563533544
2540,2134440,789,10.12753842,1.7648391485214234,-0.00038051530718803407,3.5204828158020973
2560,2151240,789,7.117093079999998,1.8093172073364259,-0.0026829324662685393,3.2511194005608557
2580,2168040,789,2.8945018800000004,1.7566463232040406,-0.004220160213299096,1.585982808470726
2600,2184840,789,1.9755671500000007,1.7402952194213868,-0.0011747058480978013,0.2794783040881157
2620,2201640,789,7.1728241100000005,1.7454892635345458,-0.0064441879279911515,1.420354475080967
2640,2218440,789,9.721130070000001,1.6982182145118714,-0.003797600883990526,1.1592790707945824
2660,2235240,789,5.50202587,1.6930394887924194,-0.0029863156378269196,2.6276865297928453
2680,2252040,790,5.99790172,1.7887050747871398,0.0001439616084098816,5.501812353730202
2700,2268840,790,7.1319862999999994,1.5567114353179932,-0.0018084019422531128,6.154674980789423
