misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,17640,530,-24.998064839999998,2.193733739852905,-0.00020011328160762787,5.69916558265686
40,34440,523,-24.026726519999997,2.1948133230209352,-0.0003335731104016304,3.0471622347831726
60,51240,516,-22.826521180000004,2.186917281150818,-0.00046035125851631167,1.9073337078094483
80,68040,403,-23.35696675,2.166219639778137,-0.0005769629031419754,1.3152298748493194
100,84840,420,-20.58788601,2.102980613708496,-0.0007389262318611145,1.459502148628235
120,101640,438,-17.956237320000003,2.023608160018921,-0.0005040248855948448,1.2639090716838837
140,118440,457,-17.44220938,1.9436686635017395,-0.0005849754204973578,1.423985582590103
160,135240,389,-17.16032442,1.9463939428329469,-0.000892920047044754,1.0709326982498169
180,152040,406,-16.86585472,1.9647214770317079,-0.0005021292716264724,0.9871704399585723
200,168840,422,-16.14552441,1.959482741355896,-0.000715797021985054,0.9515449166297912
220,185640,434,-16.235082419999998,1.9368054509162902,-0.00045678578317165375,2.2087273001670837
240,202440,444,-16.87937365,1.914362335205078,-0.0003443930298089981,0.9207593321800231
260,219240,452,-15.767062419999997,1.8906580328941345,-0.0008194003254175186,1.3648759245872497
280,236040,458,-15.775337889999998,1.9625795364379883,-0.0024633229710161685,2.3602566599845884
300,252840,466,-16.80927853,1.9298319101333619,-0.0011759594082832337,1.228963953256607
320,269640,472,-17.25297149,1.965742564201355,-0.0026025666389614343,1.1212632060050964
340,286440,479,-16.786469149999995,1.904964315891266,-0.0013037774711847304,0.8619631171226502
360,303240,485,-16.90940711,1.8920687437057495,0.0005708005279302597,1.7251232862472534
380,320040,491,-16.452999260000002,1.779936957359314,-0.0028239139122888447,0.5410149782896042
400,336840,497,-15.747943289999998,1.795635175704956,-0.0012807335704565048,1.1710520446300507
420,353640,502,-15.58010933,1.8338461637496948,-0.0036094926530495287,2.8536985874176026
