misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
20,17640,925,-26.422031757575763,2.1920774459838865,-0.0001654781401157379,2.8032361187040804
40,34440,953,-26.73623932,2.183802270889282,-0.00043103261559735985,3.0729672253131866
60,51240,962,-26.48316613,2.184707498550415,-0.0005394063889980316,1.7100333988666534
80,68040,970,-28.351278300000004,2.18623833656311,-0.0008591504767537117,1.536672192811966
100,84840,973,-27.704288069999997,2.140850782394409,-0.0007501820102334023,1.3814828813076019
120,101640,978,-26.69372313,2.157424783706665,-0.0008735944284126163,2.8898059248924257
140,118440,981,-27.83916884,2.17369487285614,-0.0001432061195373535,2.400223743915558
160,135240,981,-27.009725579999998,2.178077054023743,5.598217248916626e-05,2.0030202209949493
180,152040,982,-26.966755109999994,2.1633724212646483,-0.0003553299233317375,1.8348836660385133
200,168840,985,-25.53139639,2.1656149864196776,-0.0005324464291334152,3.3736756086349486
220,185640,985,-24.86361095,2.1730576038360594,-0.0006321586668491363,1.3128040552139282
240,202440,988,-25.63105177,2.1653191804885865,-0.0005303993821144104,1.5055054485797883
260,219240,988,-26.44262431,2.145612597465515,-0.0008577868342399597,2.5377045392990114
280,236040,989,-25.123929970000002,2.1355652093887327,-0.0009219828993082046,1.8892922341823577
300,252840,990,-27.473528800000004,2.1708531856536863,-0.0021301216329447925,2.2823147654533384
320,269640,992,-26.542437359999997,2.156999349594116,-0.00019468776881694793,1.526435998082161
340,286440,993,-27.508280879999997,2.163358974456787,-0.0002696450334042311,3.315246784687042
360,303240,993,-27.16692001,2.1706934213638305,-0.0007864199578762054,0.8897798925638198
380,320040,993,-27.029486290000005,2.1704294681549072,-0.0010029325261712075,0.8758079051971436
400,336840,993,-25.410999619999995,2.1658697843551638,-0.0029079180210828783,2.6258425176143647
420,353640,993,-26.597205199999998,2.1498636484146116,0.0006008163094520569,0.3398925825953484
440,370440,993,-27.341373620000002,2.174239921569824,-0.00022859126329421997,2.514309066534042
460,387240,994,-27.12030762,2.1560420274734495,-0.0006983213126659394,2.3269068539142608
480,404040,994,-25.04440515,2.1646566867828367,-0.001075461506843567,0.8794778764247895
500,420840,993,-24.600315490000003,2.1152851581573486,0.00026905275881290437,1.8341491043567657
520,437640,993,-24.757566919999995,2.1452304124832153,-0.000333399698138237,3.225347948074341
540,454440,994,-25.73940533,2.145316219329834,-0.0036524731665849687,1.9756661772727966
560,471240,994,-24.962318719999995,2.1354671716690063,0.0004429873079061508,1.743333375453949
580,488040,993,-26.922798940000003,2.127740979194641,-0.0004920554347336292,2.3216218173503878
600,504840,994,-27.024088850000002,2.1264555931091307,-0.00028770267963409426,1.5416517019271851
620,521640,994,-26.883699219999993,2.066099166870117,-0.00026600584387779234,0.7373401135206222
640,538440,994,-26.189363110000002,2.1464535713195803,-0.0005380595102906227,0.9937887281179428
